year,id_,childs,educ,degree,partyid,polviews,gunlaw,owngun,ballot
2024,2722,4,6 years of college,Graduate,"Independent, close to republican","Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,2723,0,4 years of college,Bachelor's,"Independent (neither, no response)","Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,2724,0,5 years of college,Bachelor's,"Independent, close to democrat","Moderate, middle of the road",OPPOSE,YES,Ballot a
2024,2725,8 or more,6 years of college,Graduate,"Independent, close to democrat",Liberal,FAVOR,NO,Ballot c
2024,2726,0,4 years of college,Bachelor's,Not very strong republican,"Moderate, middle of the road",FAVOR,YES,Ballot a
2024,2727,2,1 year of college,Associate/junior college,Strong republican,"Moderate, middle of the road",OPPOSE,YES,Ballot a
2024,2728,0,2 years of college,High school,Not very strong democrat,Slightly liberal,FAVOR,NO,Ballot a
2024,2729,2,4 years of college,Bachelor's,Strong republican,Conservative,OPPOSE,YES,Ballot c
2024,2730,2,12th grade,High school,Strong republican,Conservative,FAVOR,YES,Ballot a
2024,2731,1,4 years of college,Bachelor's,Not very strong republican,Conservative,OPPOSE,NO,Ballot a
2024,2732,2,4 years of college,High school,Strong republican,Conservative,OPPOSE,YES,Ballot a
2024,2733,4,12th grade,High school,"Independent, close to republican","Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,2734,2,8 or more years of college,Graduate,"Independent (neither, no response)","Moderate, middle of the road",OPPOSE,YES,Ballot c
2024,2735,3,6 years of college,Graduate,"Independent, close to republican","Moderate, middle of the road",FAVOR,NO,Ballot a
2024,2736,2,8 or more years of college,Graduate,Strong democrat,Liberal,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,2737,3,1 year of college,High school,Not very strong republican,"Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,2738,2,2 years of college,High school,Strong republican,Conservative,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,2739,3,2 years of college,Associate/junior college,"Independent, close to republican","Moderate, middle of the road",OPPOSE,YES,Ballot a
2024,2740,4,12th grade,High school,Strong republican,Extremely conservative,FAVOR,YES,Ballot a
2024,2741,3,12th grade,High school,Strong democrat,Liberal,OPPOSE,YES,Ballot a
2024,2742,3,12th grade,High school,"Independent (neither, no response)","Moderate, middle of the road",FAVOR,NO,Ballot c
2024,2743,1,7 years of college,Graduate,Not very strong democrat,Liberal,FAVOR,YES,Ballot c
2024,2744,1,12th grade,High school,Strong republican,Conservative,FAVOR,NO,Ballot a
2024,2745,2,12th grade,High school,Strong republican,Extremely conservative,OPPOSE,YES,Ballot a
2024,2746,4,11th grade,Less than high school,"Independent (neither, no response)","Moderate, middle of the road",FAVOR,NO,Ballot a
2024,2747,1,12th grade,High school,Strong republican,Conservative,OPPOSE,NO,Ballot c
2024,2748,1,12th grade,High school,Strong republican,Conservative,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,2749,0,4 years of college,Bachelor's,Strong republican,Slightly conservative,OPPOSE,YES,Ballot c
2024,2750,2,4 years of college,Bachelor's,Strong democrat,Liberal,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,2751,8 or more,6th grade,Less than high school,"Independent, close to democrat",Slightly conservative,OPPOSE,NO,Ballot c
2024,2752,0,2 years of college,High school,"Independent (neither, no response)","Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,2753,3,1 year of college,High school,"Independent (neither, no response)","Moderate, middle of the road",FAVOR,YES,Ballot c
2024,2754,4,4 years of college,Bachelor's,Not very strong republican,"Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,2755,0,8 or more years of college,Graduate,"Independent (neither, no response)","Moderate, middle of the road",OPPOSE,NO,Ballot a
2024,2756,2,4 years of college,Bachelor's,"Independent, close to republican",Conservative,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,2757,2,12th grade,High school,"Independent, close to democrat","Moderate, middle of the road",OPPOSE,NO,Ballot c
2024,2758,2,2 years of college,High school,"Independent, close to democrat","Moderate, middle of the road",FAVOR,NO,Ballot a
2024,2759,6,12th grade,High school,"Independent, close to democrat",Conservative,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,2760,1,4 years of college,Associate/junior college,"Independent, close to republican",Conservative,OPPOSE,YES,Ballot a
2024,2761,0,4 years of college,Bachelor's,Not very strong republican,Conservative,OPPOSE,YES,Ballot a
2024,2762,0,4 years of college,Bachelor's,"Independent, close to republican",Slightly conservative,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,2763,0,12th grade,High school,"Independent (neither, no response)",Slightly conservative,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,2764,6,3 years of college,Associate/junior college,"Independent (neither, no response)","Moderate, middle of the road",OPPOSE,YES,Ballot c
2024,2765,4,12th grade,High school,Strong republican,Liberal,OPPOSE,YES,Ballot c
2024,2766,0,5 years of college,Bachelor's,"Independent (neither, no response)","Moderate, middle of the road",FAVOR,YES,Ballot c
2024,2767,3,12th grade,High school,"Independent, close to democrat","Moderate, middle of the road",FAVOR,NO,Ballot a
2024,2768,0,6 years of college,Graduate,"Independent (neither, no response)","Moderate, middle of the road",FAVOR,YES,Ballot a
2024,2769,3,11th grade,Less than high school,"Independent (neither, no response)",Slightly liberal,FAVOR,NO,Ballot c
2024,2770,0,1 year of college,High school,"Independent (neither, no response)","Moderate, middle of the road",FAVOR,NO,Ballot c
2024,2771,3,2 years of college,Associate/junior college,Strong democrat,Liberal,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,2772,0,4 years of college,Bachelor's,Strong republican,Conservative,OPPOSE,YES,Ballot a
2024,2773,3,12th grade,High school,Not very strong republican,"Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,2774,0,10th grade,High school,Strong democrat,"Moderate, middle of the road",FAVOR,NO,Ballot a
2024,2775,2,7th grade,Less than high school,Strong democrat,Conservative,OPPOSE,YES,Ballot a
2024,2776,0,12th grade,High school,Strong democrat,"Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,2777,3,12th grade,High school,Not very strong democrat,Conservative,FAVOR,YES,Ballot a
2024,2778,3,10th grade,Less than high school,"Independent (neither, no response)",Slightly liberal,FAVOR,NO,Ballot c
2024,2779,0,9th grade,Less than high school,"Independent (neither, no response)","Moderate, middle of the road",OPPOSE,NO,Ballot c
2024,2780,3,11th grade,Less than high school,Strong democrat,Extremely conservative,FAVOR,YES,Ballot c
2024,2781,1,.d:  Do not Know/Cannot Choose,Less than high school,Strong democrat,"Moderate, middle of the road",FAVOR,NO,Ballot a
2024,2782,4,2 years of college,High school,.n:  No answer,.n:  No answer,FAVOR,NO,Ballot a
2024,2783,5,11th grade,Less than high school,Strong democrat,Liberal,FAVOR,NO,Ballot c
2024,2784,3,8 or more years of college,Graduate,Strong republican,Extremely conservative,FAVOR,YES,Ballot a
2024,2785,1,10th grade,Less than high school,Not very strong democrat,.d:  Do not Know/Cannot Choose,FAVOR,NO,Ballot c
2024,2786,2,12th grade,High school,Strong republican,Conservative,FAVOR,NO,Ballot c
2024,2787,0,4 years of college,High school,Strong democrat,"Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,2788,2,4 years of college,Bachelor's,Strong republican,Extremely conservative,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,2789,1,4 years of college,Bachelor's,"Independent, close to republican","Moderate, middle of the road",FAVOR,YES,Ballot a
2024,2790,0,1 year of college,Associate/junior college,"Independent (neither, no response)","Moderate, middle of the road",FAVOR,YES,Ballot a
2024,2791,3,12th grade,High school,"Independent (neither, no response)",Extremely liberal,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,2792,3,9th grade,High school,Strong democrat,Slightly liberal,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,2793,0,.d:  Do not Know/Cannot Choose,Less than high school,"Independent (neither, no response)",.s:  Skipped on Web,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,2794,1,11th grade,Less than high school,"Independent, close to democrat","Moderate, middle of the road",FAVOR,NO,Ballot a
2024,2795,1,2 years of college,High school,"Independent (neither, no response)","Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,2796,.s:  Skipped on Web,12th grade,High school,"Independent (neither, no response)",Extremely conservative,.s:  Skipped on Web,.s:  Skipped on Web,Ballot a
2024,2797,3,2 years of college,Associate/junior college,Strong democrat,"Moderate, middle of the road",FAVOR,NO,Ballot c
2024,2798,3,3 years of college,High school,"Independent (neither, no response)","Moderate, middle of the road",FAVOR,YES,Ballot a
2024,2799,2,4 years of college,Bachelor's,Strong republican,Conservative,OPPOSE,YES,Ballot c
2024,2800,0,12th grade,High school,"Independent (neither, no response)","Moderate, middle of the road",FAVOR,NO,Ballot a
2024,2801,4,10th grade,Less than high school,"Independent (neither, no response)",.d:  Do not Know/Cannot Choose,FAVOR,NO,Ballot a
2024,2802,0,4 years of college,Bachelor's,"Independent, close to democrat",Slightly liberal,FAVOR,YES,Ballot c
2024,2803,0,12th grade,High school,Not very strong democrat,Slightly liberal,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,2804,3,12th grade,High school,Not very strong republican,"Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,2805,0,2 years of college,Associate/junior college,Not very strong republican,.n:  No answer,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,2806,2,4 years of college,Bachelor's,Strong democrat,Slightly conservative,FAVOR,NO,Ballot c
2024,2807,3,4 years of college,Bachelor's,Not very strong republican,Conservative,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,2808,0,1 year of college,High school,"Independent (neither, no response)",Conservative,FAVOR,NO,Ballot c
2024,2809,0,4 years of college,Bachelor's,Not very strong democrat,Extremely liberal,FAVOR,NO,Ballot a
2024,2810,0,12th grade,High school,"Independent (neither, no response)",Conservative,FAVOR,NO,Ballot a
2024,2811,3,2 years of college,Associate/junior college,Not very strong republican,Extremely conservative,OPPOSE,YES,Ballot c
2024,2812,2,1 year of college,High school,Strong republican,Conservative,FAVOR,YES,Ballot a
2024,2813,2,2 years of college,High school,Strong republican,Conservative,OPPOSE,YES,Ballot c
2024,2814,4,12th grade,High school,"Independent, close to democrat",Slightly conservative,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,2815,2,12th grade,High school,Not very strong republican,.s:  Skipped on Web,FAVOR,YES,Ballot c
2024,2816,2,2 years of college,Associate/junior college,Not very strong republican,Conservative,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,2817,3,3 years of college,Associate/junior college,Other party,"Moderate, middle of the road",OPPOSE,YES,Ballot a
2024,2818,0,2 years of college,High school,Strong republican,Extremely conservative,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,2819,2,4 years of college,Associate/junior college,"Independent (neither, no response)",Slightly conservative,OPPOSE,YES,Ballot a
2024,2820,3,1 year of college,High school,Strong republican,Extremely conservative,FAVOR,YES,Ballot a
2024,2821,3,1 year of college,High school,Strong republican,Conservative,FAVOR,YES,Ballot c
2024,2822,4,11th grade,High school,"Independent, close to democrat",Extremely conservative,OPPOSE,NO,Ballot c
2024,2823,.n:  No answer,4 years of college,Associate/junior college,.n:  No answer,"Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,2824,2,2 years of college,High school,Strong republican,Conservative,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,2825,0,12th grade,High school,"Independent, close to democrat",Extremely conservative,OPPOSE,YES,Ballot a
2024,2826,5,12th grade,High school,"Independent (neither, no response)","Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,2827,0,2 years of college,High school,"Independent (neither, no response)","Moderate, middle of the road",FAVOR,NO,Ballot c
2024,2828,5,2 years of college,High school,"Independent (neither, no response)",.n:  No answer,FAVOR,NO,Ballot c
2024,2829,0,12th grade,High school,Not very strong republican,Extremely conservative,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,2830,0,8 or more years of college,Bachelor's,Strong republican,Extremely conservative,OPPOSE,YES,Ballot c
2024,2831,2,4 years of college,Bachelor's,"Independent (neither, no response)","Moderate, middle of the road",FAVOR,YES,Ballot c
2024,2832,0,4 years of college,Bachelor's,Not very strong democrat,Extremely conservative,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,2833,2,1 year of college,High school,"Independent (neither, no response)","Moderate, middle of the road",FAVOR,YES,Ballot a
2024,2834,0,12th grade,High school,Strong democrat,Liberal,FAVOR,YES,Ballot a
2024,2835,2,2 years of college,Associate/junior college,Strong democrat,"Moderate, middle of the road",FAVOR,NO,Ballot c
2024,2836,0,12th grade,High school,"Independent (neither, no response)",Extremely liberal,OPPOSE,YES,Ballot a
2024,2837,4,1 year of college,Associate/junior college,Strong republican,Extremely conservative,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,2838,0,4 years of college,Bachelor's,"Independent (neither, no response)","Moderate, middle of the road",OPPOSE,YES,Ballot a
2024,2839,4,1 year of college,High school,"Independent (neither, no response)","Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,2840,5,12th grade,High school,"Independent, close to republican","Moderate, middle of the road",FAVOR,NO,Ballot a
2024,2841,0,12th grade,High school,"Independent, close to democrat",Extremely conservative,OPPOSE,NO,Ballot a
2024,2842,2,3 years of college,High school,Not very strong democrat,Extremely liberal,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,2843,4,1 year of college,High school,Strong democrat,"Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,2844,3,4 years of college,High school,Strong democrat,Slightly liberal,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,2845,0,2 years of college,High school,Not very strong democrat,Extremely conservative,OPPOSE,NO,Ballot a
2024,2846,2,12th grade,High school,"Independent (neither, no response)","Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,2847,0,10th grade,Less than high school,"Independent (neither, no response)","Moderate, middle of the road",FAVOR,NO,Ballot c
2024,2848,0,12th grade,High school,Not very strong democrat,"Moderate, middle of the road",FAVOR,NO,Ballot a
2024,2849,0,12th grade,High school,Not very strong democrat,Slightly liberal,OPPOSE,YES,Ballot c
2024,2850,3,11th grade,Less than high school,Not very strong democrat,Slightly conservative,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,2851,2,12th grade,High school,"Independent, close to democrat","Moderate, middle of the road",FAVOR,NO,Ballot a
2024,2852,4,12th grade,High school,Strong republican,Conservative,OPPOSE,YES,Ballot c
2024,2853,8 or more,4 years of college,Bachelor's,Not very strong republican,Slightly conservative,FAVOR,YES,Ballot a
2024,2854,0,8 or more years of college,Bachelor's,"Independent, close to democrat","Moderate, middle of the road",FAVOR,NO,Ballot c
2024,2855,2,12th grade,High school,"Independent (neither, no response)","Moderate, middle of the road",OPPOSE,NO,Ballot c
2024,2856,0,4 years of college,Bachelor's,"Independent (neither, no response)","Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,2857,4,4 years of college,Bachelor's,"Independent (neither, no response)","Moderate, middle of the road",FAVOR,YES,Ballot c
2024,2858,2,12th grade,High school,"Independent (neither, no response)","Moderate, middle of the road",FAVOR,YES,Ballot a
2024,2859,2,1 year of college,High school,Not very strong republican,Conservative,FAVOR,YES,Ballot a
2024,2860,2,12th grade,High school,Not very strong republican,"Moderate, middle of the road",FAVOR,YES,Ballot c
2024,2861,4,3 years of college,High school,Strong republican,Conservative,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,2862,4,1 year of college,High school,Strong republican,Conservative,FAVOR,YES,Ballot a
2024,2863,5,2 years of college,Associate/junior college,Strong republican,Extremely conservative,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,2864,1,8 or more years of college,Graduate,"Independent (neither, no response)",Conservative,OPPOSE,.s:  Skipped on Web,Ballot c
2024,2865,0,12th grade,High school,"Independent (neither, no response)","Moderate, middle of the road",FAVOR,NO,Ballot c
2024,2866,0,4 years of college,High school,"Independent, close to republican",Conservative,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,2867,3,6 years of college,Graduate,Strong republican,Conservative,OPPOSE,NO,Ballot c
2024,2868,5,2 years of college,Associate/junior college,"Independent, close to republican","Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,2869,3,3 years of college,High school,Strong republican,Conservative,OPPOSE,NO,Ballot a
2024,2870,6,6 years of college,Graduate,Strong republican,Conservative,OPPOSE,YES,Ballot c
2024,2871,4,4 years of college,Bachelor's,Strong republican,Slightly conservative,OPPOSE,YES,Ballot c
2024,2872,3,11th grade,Less than high school,Strong republican,Extremely conservative,.d:  Do not Know/Cannot Choose,REFUSED,Ballot a
2024,2873,4,4 years of college,Bachelor's,Not very strong republican,Slightly conservative,FAVOR,YES,Ballot a
2024,2874,3,12th grade,High school,"Independent, close to republican",Conservative,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,2875,0,6 years of college,Graduate,Strong republican,Conservative,OPPOSE,NO,Ballot a
2024,2876,2,4 years of college,Bachelor's,Strong republican,Slightly conservative,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,2877,1,2 years of college,High school,Not very strong democrat,Slightly liberal,FAVOR,NO,Ballot a
2024,2878,1,2 years of college,High school,"Independent, close to republican",Slightly conservative,FAVOR,NO,Ballot c
2024,2879,4,10th grade,Less than high school,"Independent (neither, no response)",Slightly conservative,FAVOR,NO,Ballot c
2024,2880,0,1 year of college,High school,"Independent (neither, no response)",Extremely conservative,FAVOR,NO,Ballot c
2024,2881,4,5 years of college,Graduate,Not very strong republican,"Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,2882,5,1 year of college,High school,"Independent, close to republican",Extremely conservative,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,2883,0,2 years of college,High school,Strong democrat,Extremely liberal,FAVOR,NO,Ballot a
2024,2884,4,11th grade,Less than high school,"Independent (neither, no response)",Slightly conservative,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,2885,0,3 years of college,Associate/junior college,Not very strong republican,Slightly conservative,FAVOR,NO,Ballot a
2024,2886,2,6 years of college,Graduate,"Independent (neither, no response)","Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,2887,2,3 years of college,High school,"Independent, close to republican",Slightly conservative,OPPOSE,.s:  Skipped on Web,Ballot a
2024,2888,1,6th grade,Less than high school,"Independent (neither, no response)","Moderate, middle of the road",FAVOR,NO,Ballot c
2024,2889,1,7th grade,Less than high school,"Independent (neither, no response)","Moderate, middle of the road",FAVOR,NO,Ballot c
2024,2890,0,6 years of college,High school,"Independent (neither, no response)",.d:  Do not Know/Cannot Choose,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,2891,4,2 years of college,Associate/junior college,Strong democrat,Liberal,FAVOR,NO,Ballot a
2024,2892,0,5 years of college,Bachelor's,"Independent, close to republican",Slightly conservative,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,2893,2,6th grade,Less than high school,Not very strong democrat,Slightly liberal,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,2894,1,12th grade,High school,Other party,Conservative,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,2895,0,1 year of college,High school,"Independent (neither, no response)","Moderate, middle of the road",FAVOR,NO,Ballot a
2024,2896,2,2 years of college,High school,"Independent, close to democrat",Liberal,OPPOSE,YES,Ballot c
2024,2897,2,4 years of college,Bachelor's,"Independent, close to democrat",Liberal,FAVOR,YES,Ballot a
2024,2898,1,6 years of college,Graduate,Strong republican,"Moderate, middle of the road",OPPOSE,YES,Ballot a
2024,2899,2,2 years of college,High school,"Independent (neither, no response)",Extremely liberal,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,2900,6,2 years of college,High school,"Independent (neither, no response)",.d:  Do not Know/Cannot Choose,OPPOSE,YES,Ballot c
2024,2901,0,8 or more years of college,Bachelor's,Strong democrat,Slightly liberal,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,2902,2,12th grade,High school,"Independent (neither, no response)",Slightly liberal,FAVOR,YES,Ballot a
2024,2903,2,12th grade,High school,Strong republican,Slightly conservative,OPPOSE,YES,Ballot a
2024,2904,4,12th grade,High school,"Independent (neither, no response)",.d:  Do not Know/Cannot Choose,FAVOR,YES,Ballot c
2024,2905,4,12th grade,High school,"Independent (neither, no response)",.d:  Do not Know/Cannot Choose,OPPOSE,NO,Ballot c
2024,2906,3,2 years of college,Associate/junior college,Strong democrat,Liberal,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,2907,2,1 year of college,High school,Strong republican,Extremely conservative,OPPOSE,NO,Ballot c
2024,2908,2,3 years of college,High school,"Independent (neither, no response)","Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,2909,4,10th grade,Less than high school,Not very strong democrat,"Moderate, middle of the road",OPPOSE,YES,Ballot a
2024,2910,0,4 years of college,Bachelor's,Strong democrat,"Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,2911,1,5 years of college,Bachelor's,"Independent, close to republican",Slightly liberal,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,2912,2,4 years of college,Bachelor's,Not very strong democrat,Slightly conservative,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,2913,1,4 years of college,Bachelor's,Not very strong democrat,Extremely liberal,FAVOR,NO,Ballot a
2024,2914,0,8 or more years of college,Graduate,"Independent (neither, no response)",Slightly liberal,FAVOR,YES,Ballot a
2024,2915,0,2 years of college,Associate/junior college,"Independent, close to republican",Slightly conservative,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,2916,2,8 or more years of college,Graduate,Strong democrat,Liberal,FAVOR,NO,Ballot a
2024,2917,3,1 year of college,High school,Not very strong republican,.d:  Do not Know/Cannot Choose,FAVOR,NO,Ballot a
2024,2918,1,6 years of college,Graduate,Strong democrat,Liberal,FAVOR,YES,Ballot c
2024,2919,0,3 years of college,Associate/junior college,Not very strong republican,Conservative,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,2920,2,4 years of college,Bachelor's,"Independent, close to democrat","Moderate, middle of the road",FAVOR,NO,Ballot c
2024,2921,4,12th grade,High school,"Independent, close to republican",Conservative,OPPOSE,YES,Ballot a
2024,2922,3,12th grade,High school,Not very strong democrat,"Moderate, middle of the road",FAVOR,NO,Ballot a
2024,2923,2,4 years of college,Bachelor's,"Independent (neither, no response)","Moderate, middle of the road",OPPOSE,YES,Ballot a
2024,2924,2,12th grade,High school,Not very strong republican,"Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,2925,0,8 or more years of college,Graduate,Not very strong republican,Conservative,OPPOSE,NO,Ballot c
2024,2926,0,5 years of college,Bachelor's,"Independent, close to democrat",Slightly liberal,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,2927,0,2 years of college,Associate/junior college,Strong democrat,Liberal,FAVOR,NO,Ballot a
2024,2928,0,4 years of college,High school,Not very strong republican,Slightly conservative,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,2929,0,12th grade,High school,"Independent (neither, no response)",Liberal,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,2930,0,12th grade,High school,"Independent, close to democrat",Slightly liberal,FAVOR,YES,Ballot c
2024,2931,2,4 years of college,Graduate,Strong democrat,Slightly liberal,FAVOR,NO,Ballot a
2024,2932,2,6 years of college,Graduate,Not very strong democrat,"Moderate, middle of the road",FAVOR,YES,Ballot a
2024,2933,4,2 years of college,High school,"Independent (neither, no response)","Moderate, middle of the road",FAVOR,YES,Ballot a
2024,2934,1,4 years of college,Bachelor's,Other party,Slightly conservative,FAVOR,NO,Ballot c
2024,2935,2,2 years of college,High school,Not very strong republican,Slightly conservative,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,2936,3,4 years of college,Associate/junior college,Strong democrat,Extremely liberal,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,2937,1,4 years of college,Bachelor's,Not very strong democrat,Liberal,FAVOR,YES,Ballot a
2024,2938,3,12th grade,High school,Not very strong republican,Slightly conservative,FAVOR,YES,Ballot c
2024,2939,2,1 year of college,High school,Strong democrat,Liberal,FAVOR,NO,Ballot c
2024,2940,0,4 years of college,Bachelor's,Strong democrat,Slightly liberal,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,2941,0,8 or more years of college,Graduate,Not very strong republican,"Moderate, middle of the road",OPPOSE,YES,Ballot a
2024,2942,2,2 years of college,High school,Not very strong republican,Slightly conservative,FAVOR,YES,Ballot a
2024,2943,0,2 years of college,Associate/junior college,Not very strong democrat,Slightly liberal,OPPOSE,YES,Ballot c
2024,2944,1,12th grade,High school,Strong republican,Conservative,.d:  Do not Know/Cannot Choose,NO,Ballot a
2024,2945,2,5 years of college,Bachelor's,"Independent, close to democrat",Slightly liberal,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,2946,1,6 years of college,Graduate,Not very strong democrat,Slightly liberal,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,2947,1,1 year of college,High school,"Independent (neither, no response)",.s:  Skipped on Web,.s:  Skipped on Web,.s:  Skipped on Web,Ballot a
2024,2948,3,3 years of college,Associate/junior college,"Independent, close to republican",.d:  Do not Know/Cannot Choose,FAVOR,NO,Ballot a
2024,2949,2,3 years of college,High school,"Independent, close to democrat","Moderate, middle of the road",FAVOR,NO,Ballot c
2024,2950,3,4 years of college,Bachelor's,Strong republican,Extremely conservative,OPPOSE,NO,Ballot a
2024,2951,3,12th grade,High school,Not very strong democrat,"Moderate, middle of the road",FAVOR,YES,Ballot c
2024,2952,3,1 year of college,High school,Not very strong democrat,"Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,2953,2,5 years of college,Bachelor's,"Independent (neither, no response)",Slightly conservative,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,2954,0,12th grade,High school,Not very strong democrat,Liberal,OPPOSE,NO,Ballot a
2024,2955,0,4 years of college,Bachelor's,Strong republican,Conservative,OPPOSE,NO,Ballot a
2024,2956,0,5 years of college,Bachelor's,Not very strong republican,Conservative,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,2957,2,12th grade,High school,"Independent, close to democrat",Slightly liberal,FAVOR,NO,Ballot c
2024,2958,0,4 years of college,Bachelor's,Strong democrat,Slightly liberal,FAVOR,YES,Ballot c
2024,2959,2,4 years of college,Bachelor's,Not very strong democrat,Liberal,FAVOR,NO,Ballot c
2024,2960,0,12th grade,High school,"Independent (neither, no response)","Moderate, middle of the road",FAVOR,NO,Ballot c
2024,2961,1,1 year of college,High school,"Independent, close to republican",Conservative,OPPOSE,NO,Ballot a
2024,2962,3,2 years of college,High school,Not very strong democrat,Liberal,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,2963,0,5th grade,Less than high school,"Independent, close to democrat",Slightly liberal,FAVOR,YES,Ballot a
2024,2964,2,7 years of college,Graduate,.n:  No answer,Slightly liberal,OPPOSE,NO,Ballot a
2024,2965,5,12th grade,High school,"Independent (neither, no response)","Moderate, middle of the road",.d:  Do not Know/Cannot Choose,NO,Ballot a
2024,2966,1,12th grade,High school,"Independent (neither, no response)","Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,2967,1,12th grade,High school,"Independent (neither, no response)","Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,Ballot b
